RECORDID,FIRSTNAME,LASTNAME,ADDRESS,CITY,POSTALCODEZIP,COUNTRY,GENDER,AGE,INCOMECODE,INCOMERANGE,INCOME,OCCUPATION,EDUCATION,RESIDENCE,FAMILYTYPE,SEGMENTATION,VISITS,TEMP_LATLONCODE,LAT,LONG,HubName,HubDist
257,Abraham,MacIntyre,,TORONTO,,Canada,Male,43,4,"130,000 - 169,999",142175,Sr. Manager,Masters,Owner,Family,Established Success,42,595,43.606052,-79.511921,"31",1.33126467025875
258,Phil,Niemann,,TORONTO,,Canada,Male,38,4,"130,000 - 169,999",148133,Sr. Manager,Masters,Owner,Family,Established Success,110,649,43.79319,-79.208136,"57",2.63022566551521
259,Min Woo,Clark,,TORONTO,,Canada,Female,29,5,"160,000 - 189,999",172439,Executive,Doctorate,Owner,Family,City Affluence,122,1143,43.791452,-79.330434,"44",1.65194757315123
260,Jordan,Niemann,,TORONTO,,Canada,Male,32,4,"130,000 - 169,999",145199,Sr. Manager,Masters,Owner,Family,Established Success,133,1073,43.830268,-79.166418,"57",7.54146878234919
261,Viktor,McIlroy,,TORONTO,,Canada,Female,33,4,"130,000 - 169,999",155457,Sr. Manager,Masters,Owner,Family,Established Success,10,81,43.768279,-79.340285,"38",1.71845864857135
262,Brian,Mickelson,,TORONTO,,Canada,Female,22,4,"130,000 - 169,999",154716,Sr. Manager,Masters,Owner,Family,Established Success,94,1025,43.71247,-79.563927,"7",4.84090008997439
263,Tiger,Niemann,,TORONTO,,Canada,Female,38,5,"160,000 - 189,999",166894,Executive,Doctorate,Owner,Family,City Affluence,122,617,43.716644,-79.391091,"25",1.12867458565102
264,Justin,Kim,,TORONTO,,Canada,Male,33,4,"130,000 - 169,999",151431,Sr. Manager,Masters,Owner,Family,Established Success,52,689,43.726411,-79.360878,"37",1.47499971783007
265,Wyndham,Scott,,TORONTO,,Canada,Male,57,4,"130,000 - 169,999",155301,Sr. Manager,Masters,Owner,Family,Established Success,138,251,43.775452,-79.152599,"43",4.92015122957635
266,Cameron,Theegala,,TORONTO,,Canada,Female,54,5,"160,000 - 189,999",173546,Executive,Doctorate,Owner,Family,City Affluence,53,726,43.83398,-79.237274,"59",5.07618287143381
267,Bryson,Smith,,TORONTO,,Canada,Female,20,5,"160,000 - 189,999",180186,Executive,Doctorate,Owner,Family,City Affluence,62,394,43.726562,-79.383381,"25",2.28539190105893
268,Xander,MacIntyre,,TORONTO,,Canada,Male,43,1,"40,000 - 69,999",66748,Administration,College,Rent,Singles,Young Up and Comers,23,318,43.66053,-79.52828,"30",1.13071034375456
269,Robert,MacIntyre,,TORONTO,,Canada,Male,50,3,"100,000 - 129,999",123894,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,36,185,43.740341,-79.623435,"32",10.2346410516955
270,Tiger,Morikawa,,TORONTO,,Canada,Female,41,5,"160,000 - 189,999",186420,Executive,Doctorate,Owner,Family,City Affluence,136,336,43.764204,-79.254154,"59",2.90935171876944
271,Robert,Hughes,,TORONTO,,Canada,Female,29,1,"40,000 - 69,999",60343,Administration,College,Rent,Singles,Young Up and Comers,48,839,43.7329,-79.295756,"41",3.47344137257113
272,Adam,Harman,,TORONTO,,Canada,Female,36,5,"160,000 - 189,999",166105,Executive,Doctorate,Owner,Family,City Affluence,91,664,43.675302,-79.374801,"13",1.06845505129933
273,Aaron,DeChambeau,,TORONTO,,Canada,Female,42,3,"100,000 - 129,999",124010,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,55,1096,43.755304,-79.592604,"7",8.8994398755382
274,Ludvig,Kim,,TORONTO,,Canada,Male,55,2,"70,000 - 99,999 ",94146,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,88,749,43.718042,-79.454782,"55",1.63655863716941
275,Viktor,Lee,,TORONTO,,Canada,Male,33,2,"70,000 - 99,999 ",88604,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,122,1179,43.804171,-79.36611,"44",2.42942279941579
276,Shane,Poston,,TORONTO,,Canada,Female,24,1,"40,000 - 69,999",45952,Administration,College,Rent,Singles,Young Up and Comers,25,712,43.747058,-79.192949,"43",0.43392832307052
277,Adam,Ancer,,TORONTO,,Canada,Male,26,5,"160,000 - 189,999",189834,Executive,Doctorate,Owner,Family,City Affluence,102,973,43.802988,-79.311372,"44",2.00569367186988
278,Rory,Woods,,TORONTO,,Canada,Male,30,1,"40,000 - 69,999",50192,Administration,College,Rent,Singles,Young Up and Comers,141,299,43.709912,-79.56386,"32",6.46338762143034
279,Justin,Bezuidenhout,,TORONTO,,Canada,Male,44,2,"70,000 - 99,999 ",85950,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,109,936,43.767175,-79.553761,"34",5.75937221173953
280,Louis,Homa,,TORONTO,,Canada,Female,51,1,"40,000 - 69,999",47175,Administration,College,Rent,Singles,Young Up and Comers,85,1177,43.634899,-79.535008,"28",2.52500640742469
281,Mackenzie,Bezuidenhout,,TORONTO,,Canada,Female,23,3,"100,000 - 129,999",103113,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,95,900,43.736364,-79.548832,"7",4.83613880444839
282,Si Woo,Scheffler,,TORONTO,,Canada,Female,48,1,"40,000 - 69,999",59481,Administration,College,Rent,Singles,Young Up and Comers,63,469,43.772413,-79.320883,"38",1.03499556349317
283,Xander,Matsuyama,,TORONTO,,Canada,Male,31,1,"40,000 - 69,999",40183,Administration,College,Rent,Singles,Young Up and Comers,115,427,43.694028,-79.317868,"2",2.24628385479296
284,Phil,Schauffele,,TORONTO,,Canada,Female,40,4,"130,000 - 169,999",131595,Sr. Manager,Masters,Owner,Family,Established Success,144,367,43.702213,-79.570605,"32",5.51710226898219
285,Cameron,DeChambeau,,TORONTO,,Canada,Female,33,3,"100,000 - 129,999",110278,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,29,1052,43.729456,-79.343244,"35",0.524281396160611
286,Abraham,Homa,,TORONTO,,Canada,Female,28,5,"160,000 - 189,999",160300,Executive,Doctorate,Owner,Family,City Affluence,106,1060,43.77019,-79.356392,"50",2.26483870698567
287,Xander,Lowry,,TORONTO,,Canada,Male,24,2,"70,000 - 99,999 ",96978,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,47,1194,43.621273,-79.385214,"17",5.82746587316292
288,Adam,Rahm,,TORONTO,,Canada,Male,37,5,"160,000 - 189,999",179763,Executive,Doctorate,Owner,Family,City Affluence,92,699,43.748199,-79.42823,"39",1.48619945118129
289,Scottie,Kim,,TORONTO,,Canada,Male,26,5,"160,000 - 189,999",161785,Executive,Doctorate,Owner,Family,City Affluence,55,1081,43.642166,-79.40866,"27",2.6360737492591
290,Brooks,Straka,,TORONTO,,Canada,Female,27,4,"130,000 - 169,999",137688,Sr. Manager,Masters,Owner,Family,Established Success,144,1177,43.634899,-79.535008,"28",2.52500640742469
291,Tommy,Bhatia,,TORONTO,,Canada,Male,53,4,"130,000 - 169,999",146229,Sr. Manager,Masters,Owner,Family,Established Success,2,1099,43.788571,-79.198186,"57",3.37548994479734
292,Matt,Thomas,,TORONTO,,Canada,Female,48,1,"40,000 - 69,999",55226,Administration,College,Rent,Singles,Young Up and Comers,141,659,43.694771,-79.282047,"40",1.52607783212403
293,Max,Homa,,TORONTO,,Canada,Male,19,4,"130,000 - 169,999",138345,Sr. Manager,Masters,Owner,Family,Established Success,38,1137,43.607331,-79.493749,"29",0.493484853327577
294,Adam,Poston,,TORONTO,,Canada,Female,58,1,"40,000 - 69,999",44690,Administration,College,Rent,Singles,Young Up and Comers,136,1053,43.708195,-79.242332,"56",1.26546078323491
295,Cameron,Hatton,,TORONTO,,Canada,Male,18,2,"70,000 - 99,999 ",83918,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,25,774,43.727374,-79.295151,"41",4.07372651884309
296,Jon,Poston,,TORONTO,,Canada,Female,55,2,"70,000 - 99,999 ",71460,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,125,569,43.833893,-79.204408,"57",5.82027767912277
297,Sahith,Woods,,TORONTO,,Canada,Female,57,1,"40,000 - 69,999",44812,Administration,College,Rent,Singles,Young Up and Comers,70,894,43.74676,-79.528763,"34",3.49747388570839
298,Emiliano,Smith,,TORONTO,,Canada,Male,35,3,"100,000 - 129,999",110396,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,51,891,43.795123,-79.352502,"44",1.77797964641248
299,Rory,DeChambeau,,TORONTO,,Canada,Female,32,3,"100,000 - 129,999",110244,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,3,809,43.759155,-79.248637,"42",1.96935348222288
300,Phil,Hadwin,,TORONTO,,Canada,Female,22,3,"100,000 - 129,999",116449,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,74,108,43.647855,-79.340141,"24",1.93749948084789
301,Cameron,Hughes,,TORONTO,,Canada,Female,48,2,"70,000 - 99,999 ",79220,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,25,403,43.642368,-79.487556,"49",1.75486392755798
302,Aaron,Young,,TORONTO,,Canada,Male,43,5,"160,000 - 189,999",178904,Executive,Doctorate,Owner,Family,City Affluence,72,478,43.785246,-79.300402,"46",0.583180136247529
303,Tommy,Kim,,TORONTO,,Canada,Female,38,5,"160,000 - 189,999",173958,Executive,Doctorate,Owner,Family,City Affluence,84,718,43.669697,-79.447777,"20",1.44132363400054
304,Brooks,Scott,,TORONTO,,Canada,Female,20,1,"40,000 - 69,999",64601,Administration,College,Rent,Singles,Young Up and Comers,33,25,43.766701,-79.497895,"34",1.9876527351501
305,Cameron,Hatton,,TORONTO,,Canada,Male,44,1,"40,000 - 69,999",59868,Administration,College,Rent,Singles,Young Up and Comers,1,74,43.720308,-79.463147,"16",2.54249262931227
306,Matt,Oosthuizen,,TORONTO,,Canada,Female,21,3,"100,000 - 129,999",112554,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,107,595,43.606052,-79.511921,"31",1.33126467025875
307,Austin,Hovland,,TORONTO,,Canada,Male,24,5,"160,000 - 189,999",177469,Executive,Doctorate,Owner,Family,City Affluence,59,661,43.649618,-79.424567,"4",0.84621494608616
308,Tony,Woods,,TORONTO,,Canada,Female,30,2,"70,000 - 99,999 ",97340,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,139,546,43.821338,-79.296893,"46",4.36835591616272
309,Bryson,McIlroy,,TORONTO,,Canada,Male,58,5,"160,000 - 189,999",171532,Executive,Doctorate,Owner,Family,City Affluence,2,535,43.732484,-79.402834,"22",0.138069210216614
310,Robert,Hovland,,TORONTO,,Canada,Female,36,3,"100,000 - 129,999",126642,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,36,1002,43.714122,-79.459015,"16",1.99673803022117
311,Christiaan,Oosthuizen,,TORONTO,,Canada,Male,46,5,"160,000 - 189,999",173546,Executive,Doctorate,Owner,Family,City Affluence,7,625,43.667213,-79.521612,"30",1.09203723468169
312,Collin,Straka,,TORONTO,,Canada,Male,52,1,"40,000 - 69,999",54632,Administration,College,Rent,Singles,Young Up and Comers,38,91,43.755866,-79.180836,"43",1.77751123592524
313,Alex,Koepka,,TORONTO,,Canada,Female,57,3,"100,000 - 129,999",110450,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,129,1131,43.751581,-79.37856,"51",0.435959662200139
314,Alex,Conners,,TORONTO,,Canada,Male,27,4,"130,000 - 169,999",150089,Sr. Manager,Masters,Owner,Family,Established Success,124,20,43.755467,-79.447778,"53",0.231614525759352
315,Adam,Zalatoris,,TORONTO,,Canada,Female,39,1,"40,000 - 69,999",40939,Administration,College,Rent,Singles,Young Up and Comers,65,331,43.770348,-79.466488,"54",0.773825646371833
316,Ludvig,Kim,,TORONTO,,Canada,Male,22,5,"160,000 - 189,999",172251,Executive,Doctorate,Owner,Family,City Affluence,128,536,43.643916,-79.442424,"9",0.571112475222106
317,Tony,Oosthuizen,,TORONTO,,Canada,Female,24,1,"40,000 - 69,999",61543,Administration,College,Rent,Singles,Young Up and Comers,126,1137,43.607331,-79.493749,"29",0.493484853327577
318,Adam,Zalatoris,,TORONTO,,Canada,Female,33,5,"160,000 - 189,999",173058,Executive,Doctorate,Owner,Family,City Affluence,128,285,43.796385,-79.350319,"44",1.55356543316117
319,Collin,Finau,,TORONTO,,Canada,Male,25,4,"130,000 - 169,999",140472,Sr. Manager,Masters,Owner,Family,Established Success,10,672,43.832701,-79.25103,"59",5.00611846579722
320,Robert,Rahm,,TORONTO,,Canada,Female,42,3,"100,000 - 129,999",121237,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,2,71,43.78125,-79.422169,"53",3.52071720438173
321,Adam,Hughes,,TORONTO,,Canada,Female,45,2,"70,000 - 99,999 ",98757,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,40,101,43.665637,-79.438879,"20",0.674566209878515
322,Joaquin,Mickelson,,TORONTO,,Canada,Female,28,1,"40,000 - 69,999",52942,Administration,College,Rent,Singles,Young Up and Comers,52,227,43.778352,-79.281484,"46",1.13696734834349
323,Cameron,Hughes,,TORONTO,,Canada,Male,42,4,"130,000 - 169,999",142833,Sr. Manager,Masters,Owner,Family,Established Success,129,687,43.805251,-79.337827,"44",0.157640871411265
324,Corey,Conners,,TORONTO,,Canada,Female,40,4,"130,000 - 169,999",147564,Sr. Manager,Masters,Owner,Family,Established Success,136,818,43.721564,-79.62092,"32",8.21099683197679
325,Joaquin,Grillo,,TORONTO,,Canada,Female,33,2,"70,000 - 99,999 ",93634,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,140,137,43.724284,-79.248169,"56",2.66836384874716
326,Robert,Mickelson,,TORONTO,,Canada,Female,49,4,"130,000 - 169,999",141757,Sr. Manager,Masters,Owner,Family,Established Success,41,1150,43.780643,-79.145017,"43",5.75968470307134
327,Viktor,Hovland,,TORONTO,,Canada,Female,55,3,"100,000 - 129,999",121014,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,59,445,43.675071,-79.422573,"47",0.385554962352108
328,Adam,Rai,,TORONTO,,Canada,Female,28,5,"160,000 - 189,999",179460,Executive,Doctorate,Owner,Family,City Affluence,3,728,43.819334,-79.258772,"59",3.75591044544996
329,Emiliano,Morikawa,,TORONTO,,Canada,Female,21,2,"70,000 - 99,999 ",89872,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,117,894,43.74676,-79.528763,"34",3.49747388570839
330,Wyndham,Bezuidenhout,,TORONTO,,Canada,Male,52,5,"160,000 - 189,999",164582,Executive,Doctorate,Owner,Family,City Affluence,14,1030,43.683362,-79.46652,"16",1.64043754852421
331,Bryson,Koepka,,TORONTO,,Canada,Male,43,2,"70,000 - 99,999 ",86945,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,141,185,43.740341,-79.623435,"32",10.2346410516955
332,Xander,Poston,,TORONTO,,Canada,Female,20,1,"40,000 - 69,999",66066,Administration,College,Rent,Singles,Young Up and Comers,49,1003,43.723793,-79.370597,"21",2.38616654057466
333,Bryson,Clark,,TORONTO,,Canada,Male,38,1,"40,000 - 69,999",53651,Administration,College,Rent,Singles,Young Up and Comers,114,1096,43.755304,-79.592604,"7",8.8994398755382
334,Viktor,Theegala,,TORONTO,,Canada,Male,41,4,"130,000 - 169,999",136747,Sr. Manager,Masters,Owner,Family,Established Success,142,1102,43.735524,-79.25037,"42",2.97062840621489
335,Sungjae,MacIntyre,,TORONTO,,Canada,Male,48,4,"130,000 - 169,999",153693,Sr. Manager,Masters,Owner,Family,Established Success,20,951,43.604101,-79.504556,"31",0.797105268728624
336,Xander,Mickelson,,TORONTO,,Canada,Male,24,5,"160,000 - 189,999",184553,Executive,Doctorate,Owner,Family,City Affluence,47,1152,43.735213,-79.238213,"45",1.69633239108397
337,Denny,Lowry,,TORONTO,,Canada,Male,29,3,"100,000 - 129,999",129121,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,54,1081,43.642166,-79.40866,"27",2.6360737492591
338,Adam,Clark,,TORONTO,,Canada,Male,39,5,"160,000 - 189,999",165154,Executive,Doctorate,Owner,Family,City Affluence,12,364,43.754859,-79.477375,"34",0.792701525166598
339,Rory,Theegala,,TORONTO,,Canada,Male,55,3,"100,000 - 129,999",106723,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,92,21,43.618634,-79.484283,"29",1.24516254751138
340,Brooks,Hughes,,TORONTO,,Canada,Female,47,5,"160,000 - 189,999",163770,Executive,Doctorate,Owner,Family,City Affluence,98,296,43.75835,-79.28949,"41",0.602119905496901
341,Adam,Straka,,TORONTO,,Canada,Female,30,4,"130,000 - 169,999",131090,Sr. Manager,Masters,Owner,Family,Established Success,14,126,43.810669,-79.335265,"44",0.548291781464337
342,Viktor,Morikawa,,TORONTO,,Canada,Female,55,1,"40,000 - 69,999",48187,Administration,College,Rent,Singles,Young Up and Comers,84,806,43.767349,-79.445626,"54",0.971962589425677
343,Justin,Koepka,,TORONTO,,Canada,Male,49,3,"100,000 - 129,999",105893,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,88,439,43.66725,-79.478344,"49",1.73209611741507
344,Aaron,Grillo,,TORONTO,,Canada,Male,40,3,"100,000 - 129,999",110974,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,91,377,43.74527,-79.575147,"7",7.10581410608597
345,Cameron,Lowry,,TORONTO,,Canada,Female,38,3,"100,000 - 129,999",112145,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,107,936,43.767175,-79.553761,"34",5.75937221173953
346,Sahith,Niemann,,TORONTO,,Canada,Male,28,5,"160,000 - 189,999",168040,Executive,Doctorate,Owner,Family,City Affluence,2,8,43.658926,-79.401289,"6",1.46375612640569
347,Si Woo,Hughes,,TORONTO,,Canada,Female,28,1,"40,000 - 69,999",52314,Administration,College,Rent,Singles,Young Up and Comers,137,1178,43.791508,-79.299987,"46",1.13475793009227
348,Alex,Bezuidenhout,,TORONTO,,Canada,Male,43,1,"40,000 - 69,999",57310,Administration,College,Rent,Singles,Young Up and Comers,137,352,43.646915,-79.526699,"30",1.65570208698547
349,Tyrrell,Hatton,,TORONTO,,Canada,Female,31,3,"100,000 - 129,999",113821,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,24,799,43.784201,-79.425905,"54",2.92089190495354
350,Sungjae,Grillo,,TORONTO,,Canada,Female,51,5,"160,000 - 189,999",162162,Executive,Doctorate,Owner,Family,City Affluence,21,1053,43.708195,-79.242332,"56",1.26546078323491
351,Joaquin,Poston,,TORONTO,,Canada,Female,20,3,"100,000 - 129,999",126691,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,63,623,43.672474,-79.443708,"20",1.52533940501298
352,Hideki,Rahm,,TORONTO,,Canada,Male,52,4,"130,000 - 169,999",135982,Sr. Manager,Masters,Owner,Family,Established Success,15,444,43.761038,-79.436503,"53",1.02650824679029
353,Jon,Theegala,,TORONTO,,Canada,Female,30,3,"100,000 - 129,999",109311,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,31,201,43.753184,-79.541918,"34",4.52884966768533
354,Tom,Koepka,,TORONTO,,Canada,Female,33,1,"40,000 - 69,999",50967,Administration,College,Rent,Singles,Young Up and Comers,127,1099,43.788571,-79.198186,"57",3.37548994479734
355,Adam,Straka,,TORONTO,,Canada,Male,18,4,"130,000 - 169,999",143106,Sr. Manager,Masters,Owner,Family,Established Success,60,165,43.715203,-79.422482,"14",1.01973627946201
356,Scottie,Young,,TORONTO,,Canada,Male,42,1,"40,000 - 69,999",40237,Administration,College,Rent,Singles,Young Up and Comers,119,335,43.623095,-79.547529,"28",1.58301021219612
357,Phil,Grillo,,TORONTO,,Canada,Male,18,5,"160,000 - 189,999",178151,Executive,Doctorate,Owner,Family,City Affluence,36,684,43.796908,-79.24693,"59",1.09768380657274
358,Collin,Grillo,,TORONTO,,Canada,Male,51,1,"40,000 - 69,999",52038,Administration,College,Rent,Singles,Young Up and Comers,117,1146,43.711716,-79.602256,"32",6.69642843327289
359,Akshay,Grillo,,TORONTO,,Canada,Female,36,5,"160,000 - 189,999",161110,Executive,Doctorate,Owner,Family,City Affluence,95,412,43.804207,-79.223289,"57",2.22343653094806
360,Tommy,Hatton,,TORONTO,,Canada,Female,21,2,"70,000 - 99,999 ",98339,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,86,1053,43.708195,-79.242332,"56",1.26546078323491
361,Xander,Finau,,TORONTO,,Canada,Male,28,2,"70,000 - 99,999 ",96953,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,23,476,43.785379,-79.12897,"43",7.0871035040423
362,Patrick,Morikawa,,TORONTO,,Canada,Female,42,5,"160,000 - 189,999",182939,Executive,Doctorate,Owner,Family,City Affluence,86,230,43.716937,-79.263631,"56",1.96526570412319
363,Wyndham,Finau,,TORONTO,,Canada,Female,53,3,"100,000 - 129,999",114968,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,143,50,43.713394,-79.456859,"48",2.1541887659876
364,Si Woo,Bezuidenhout,,TORONTO,,Canada,Female,23,3,"100,000 - 129,999",103042,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,19,509,43.741366,-79.208582,"45",0.814321999522654
365,Si Woo,Schauffele,,TORONTO,,Canada,Female,46,2,"70,000 - 99,999 ",75879,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,21,235,43.671112,-79.56232,"32",2.54333355321114
366,Matt,Ancer,,TORONTO,,Canada,Male,40,1,"40,000 - 69,999",41355,Administration,College,Rent,Singles,Young Up and Comers,113,642,43.785466,-79.328254,"44",2.33972593002121
367,Phil,Hovland,,TORONTO,,Canada,Female,38,5,"160,000 - 189,999",174473,Executive,Doctorate,Owner,Family,City Affluence,79,638,43.666544,-79.464055,"49",1.64683291457955
368,Wyndham,MacIntyre,,TORONTO,,Canada,Female,41,4,"130,000 - 169,999",151434,Sr. Manager,Masters,Owner,Family,Established Success,37,520,43.747883,-79.608018,"32",10.7199218594244
369,Si Woo,Bezuidenhout,,TORONTO,,Canada,Male,53,5,"160,000 - 189,999",178821,Executive,Doctorate,Owner,Family,City Affluence,32,594,43.75133,-79.19099,"43",0.832004965790973
370,Shane,Cantlay,,TORONTO,,Canada,Male,41,2,"70,000 - 99,999 ",85139,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,73,770,43.674983,-79.508791,"30",1.84728167532425
371,Min Woo,Hadwin,,TORONTO,,Canada,Male,58,3,"100,000 - 129,999",129174,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,11,755,43.705702,-79.33149,"36",3.3030571555258
372,Brian,Schauffele,,TORONTO,,Canada,Female,24,4,"130,000 - 169,999",141377,Sr. Manager,Masters,Owner,Family,Established Success,70,343,43.656531,-79.543821,"30",2.38353865801433
373,Patrick,Kim,,TORONTO,,Canada,Male,58,1,"40,000 - 69,999",41260,Administration,College,Rent,Singles,Young Up and Comers,96,420,43.698816,-79.415395,"14",1.14437988345069
374,Xander,Bhatia,,TORONTO,,Canada,Male,54,3,"100,000 - 129,999",123565,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,130,667,43.684138,-79.28358,"40",1.53364123453202
375,Sungjae,Hughes,,TORONTO,,Canada,Female,33,2,"70,000 - 99,999 ",77736,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,33,635,43.633625,-79.380212,"13",4.55657714853538
376,Robert,Rai,,TORONTO,,Canada,Female,38,4,"130,000 - 169,999",133658,Sr. Manager,Masters,Owner,Family,Established Success,11,1109,43.775221,-79.305591,"46",1.1629192305235
377,Cameron,Scott,,TORONTO,,Canada,Female,44,1,"40,000 - 69,999",45661,Administration,College,Rent,Singles,Young Up and Comers,20,1154,43.801844,-79.365511,"44",2.41440763657366
378,Scottie,Poston,,TORONTO,,Canada,Female,33,2,"70,000 - 99,999 ",89872,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,85,352,43.646915,-79.526699,"30",1.65570208698547
379,Denny,Day,,TORONTO,,Canada,Female,51,4,"130,000 - 169,999",156829,Sr. Manager,Masters,Owner,Family,Established Success,113,240,43.698749,-79.393542,"19",0.090028631714251
380,Bryson,Kim,,TORONTO,,Canada,Male,35,2,"70,000 - 99,999 ",73775,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,85,501,43.58619,-79.541381,"31",3.57051221517864
381,Emiliano,Zalatoris,,TORONTO,,Canada,Male,39,2,"70,000 - 99,999 ",74142,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,89,963,43.719338,-79.439419,"55",1.05144768202669
382,Justin,MacIntyre,,TORONTO,,Canada,Female,27,2,"70,000 - 99,999 ",91862,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,56,410,43.742437,-79.628569,"32",10.5943871868711
383,Tom,Finau,,TORONTO,,Canada,Male,52,3,"100,000 - 129,999",118107,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,34,925,43.797627,-79.408513,"50",3.98997147179765
384,Shane,Rai,,TORONTO,,Canada,Female,49,1,"40,000 - 69,999",63925,Administration,College,Rent,Singles,Young Up and Comers,117,992,43.649747,-79.435849,"4",0.22733012062441
385,Matt,Scott,,TORONTO,,Canada,Female,36,1,"40,000 - 69,999",56822,Administration,College,Rent,Singles,Young Up and Comers,41,544,43.790416,-79.433101,"54",2.92483124962768
386,Ludvig,Kim,,TORONTO,,Canada,Male,38,5,"160,000 - 189,999",180674,Executive,Doctorate,Owner,Family,City Affluence,129,946,43.705758,-79.496927,"8",0.463983076527248
387,Brian,Lee,,TORONTO,,Canada,Female,49,3,"100,000 - 129,999",123400,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,82,1170,43.712252,-79.549298,"7",3.66956320747803
388,Austin,Straka,,TORONTO,,Canada,Female,29,5,"160,000 - 189,999",161030,Executive,Doctorate,Owner,Family,City Affluence,141,1073,43.830268,-79.166418,"57",7.54146878234919
389,Patrick,Theegala,,TORONTO,,Canada,Female,25,3,"100,000 - 129,999",101376,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,147,492,43.764736,-79.432683,"53",1.53721249083035
390,Tommy,Theegala,,TORONTO,,Canada,Male,57,3,"100,000 - 129,999",117292,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,30,72,43.783278,-79.152653,"43",5.5355316325631
391,Tommy,Straka,,TORONTO,,Canada,Male,22,3,"100,000 - 129,999",100874,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,80,1164,43.763941,-79.246496,"42",2.00955893654421
392,Tyrrell,Cantlay,,TORONTO,,Canada,Male,24,2,"70,000 - 99,999 ",87300,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,46,368,43.749785,-79.444346,"53",0.515879495789105
393,Tommy,Bhatia,,TORONTO,,Canada,Male,52,2,"70,000 - 99,999 ",85246,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,59,421,43.798613,-79.193824,"57",3.89715168291098
394,Mackenzie,Finau,,TORONTO,,Canada,Female,38,3,"100,000 - 129,999",106282,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,67,627,43.706685,-79.390272,"25",0.0411215087182533
395,Jon,Scheffler,,TORONTO,,Canada,Male,44,3,"100,000 - 129,999",116334,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,108,484,43.649736,-79.540167,"30",2.30966252922022
396,Mackenzie,Theegala,,TORONTO,,Canada,Male,52,2,"70,000 - 99,999 ",93410,Support,Bachelor,Rent,Singles/Couples,City Goals and Dreams,47,523,43.79935,-79.31862,"44",1.56967799237231
397,Will,MacIntyre,,TORONTO,,Canada,Male,51,3,"100,000 - 129,999",126415,Manager,Bachelor,Owner,Singles/Couples,Middle of the Road,114,55,43.741123,-79.400294,"22",0.899917290415227
